EstablecimientoCodigo;EstablecimientoGlosa;TipoEstablecimientoGlosa;TipoSistemaSaludGlosa;DependenciaAdministrativa;NivelAtencionEstabglosa;RegionGlosa;ComunaGlosa;NivelComplejidadEstabGlosa;TipoAtencionEstabGlosa
102601;COSAM Salvador Allende;Centro Comunitario de Salud Mental  (COSAM);Público;Servicio de Salud;Secundario;Región de Tarapacá;Iquique;Mediana Complejidad;Atención Abierta-Ambulatoria
102806;SAR Sur de Iquique;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102306;Centro de Salud Familiar Sur de Iquique;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102705;Centro Comunitario de Salud Familiar El Boro;Centro Comunitario de Salud Familiar (CECOSF);Público;Municipal;Primario;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Abierta-Ambulatoria
102807;SAPU El Boro;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Abierta-Ambulatoria
102221;Clínica Establecimiento Penitenciario Alto Hospicio;Clínica;Fuerzas Armadas y de Orden;Gendamería;No Aplica;Región de Tarapacá;Alto Hospicio;Baja Complejidad;Atención Cerrada-Hospitalaria
102302;Centro de Salud Familiar Cirujano Guzmán;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102802;SAPU Cirujano Guzmán;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102218;Policlínico FACH de Iquique;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102209;Centro Clínico Militar Iquique;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Tarapacá;Iquique;Pendiente;Atención Abierta-Ambulatoria
102300;Centro de Salud Familiar Cirujano Aguirre;Centro de Salud Familiar (CESFAM);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102800;SAPU Cirujano Aguirre;Servicio de Atención Primaria de Urgencia (SAPU);Público;Municipal;Primario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102219;Policlínico Carabineros de Iquique;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
102217;Policlínico Naval de Iquique;Centro de Salud Privado;Fuerzas Armadas y de Orden;Fuerzas Armadas y de Orden (FFAA);Secundario;Región de Tarapacá;Iquique;Baja Complejidad;Atención Abierta-Ambulatoria
